candidate_name	proposed_type	classification_reason
Cuarteto Orizaba	probable_group	ensemble_keyword
Luis Aguilar - Emilio Galvez y Roberto G. Rivera	review_required	multiple_person_names
Rodolfo y Beatriz	review_required	multiple_person_names
Lola Beltran Y Hnos. Michel	review_required	multiple_person_names
Orquesta De Cuerdas Y Alientos De Alejandro Perucho	probable_group	ensemble_keyword
Orquesta Sinfonica De Daniel Pérez Castañeda	probable_group	ensemble_keyword
Orquesta J. S. Garrido	probable_group	ensemble_keyword
Luis Aquiles Orchestra	probable_performer	single_name_pattern
Lola Beltran y Los Tres Cotorros	review_required	multiple_person_names
Cuates Castilla Y Ana Morena	review_required	multiple_person_names
Duarte y sus Corsarios	review_required	multiple_person_names
Lupe y Bella	review_required	multiple_person_names
Alegres De Terán Y Marcelo Y Aurelia	review_required	multiple_person_names
Dueto Timbre Y Sobre	review_required	multiple_person_names
Cuarteto Metropolitano De Felipe Bermejo	probable_group	ensemble_keyword
Dueto Sanchez Y Galvez	review_required	multiple_person_names
Bertha Y Juan	review_required	multiple_person_names
D’Artega Orchestra	probable_performer	single_name_pattern
Carlos Madrigal - Emilio Galvez	probable_performer	single_name_pattern
Orquesta Cubana De Domingo Vernier Mango	probable_group	ensemble_keyword
Cuarteto Ruffino	probable_group	ensemble_keyword
Montane - Andrade - Jimenez	probable_performer	single_name_pattern
Dueto Carlos Y Alicia	review_required	multiple_person_names
Acerina y su Danzonera	review_required	multiple_person_names
Orquesta De Filiberto Cedillo	probable_group	ensemble_keyword
Orquesta De Joaquin P.Monroy	probable_group	ensemble_keyword
Pimentel Y Ledezma	review_required	multiple_person_names
Orquesta Internacional	probable_group	ensemble_keyword
Orquesta Posadas	probable_group	ensemble_keyword
Orquesta Mexicana De Raul Diaz El Mago	probable_group	ensemble_keyword
Conjunto De Cuerdas Y Arpa Grande De Antioco Garibay Y Leandro Corona	probable_group	ensemble_keyword
Marimba Orquesta De Los Hnos. Dominguez	probable_group	ensemble_keyword
Hermanas Cora Y Hermanos Zaizar	review_required	multiple_person_names
Orquesta Juan S. Garrido	probable_group	ensemble_keyword
La Prieta Linda y Hermanos Zaizar	review_required	multiple_person_names
Manuel Nuñez Y Goty	review_required	multiple_person_names
Orquesta De Arturo Nuñez	probable_group	ensemble_keyword
Beatriz Eugenia y Luis Lozano	review_required	multiple_person_names
Conjunto De Cuerdas Y Arpa Grande De Antioco Garibay	probable_group	ensemble_keyword
Martha Y Felipe	review_required	multiple_person_names
Orquesta Tropical De Chucho Rodriguez	probable_group	ensemble_keyword
Prieta Linda - Hermanos Zaizar	probable_performer	single_name_pattern
Pedro Patricio Y Panfilo Patricio	review_required	multiple_person_names
Orquesta De Cuerdas Y Alientos De Aurelio De La Cruz	probable_group	ensemble_keyword
Orquesta De Cuerdas De Gervasio Lopez	probable_group	ensemble_keyword
Tere Y Maricela	review_required	multiple_person_names
Lola Beltran Y Prieta Linda	review_required	multiple_person_names
Orquesta De Alberto Dominguez	probable_group	ensemble_keyword
N. Farjardo - L. Bravo - A. Islas	probable_performer	single_name_pattern
Bob & Tony	probable_performer	single_name_pattern
Orquesta De Pepe De Le Vega	probable_group	ensemble_keyword
Orquesta Alejandro Cardona	probable_group	ensemble_keyword
