normalized_title	count	classification	recording_ids	titles	song_ids	group_ids	performer_ids	source_ids
que seas feliz	7	likely_legitimate_same_title_different_artist	REC004357|REC004358|REC004359|REC004360|REC004361|REC004362|REC004363	Que Seas Feliz|Que Seas Feliz|Que Seas Feliz|Que Seas Feliz|Que Seas Feliz|Que Seas Feliz|Que Seas Feliz	SONG003266|SONG003266|SONG003266|SONG003266|SONG003266|SONG003266|SONG003266	||||||	PER000149|PER000149|PER000058|PER000058|PER000225|PER000149|	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
a la orilla del mar	6	possible_true_duplicate_same_entity	REC000018|REC000019|REC000020|REC000021|REC000022|REC000023	A La Orilla Del Mar|A La Orilla Del Mar|A La Orilla Del Mar|A La Orilla Del Mar|A La Orilla Del Mar|A La Orilla Del Mar	SONG000014|SONG000014|SONG000014|SONG000014|SONG000014|SONG000014	|||||	PER000225|PER000225|PER000225|PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
adios	6	likely_legitimate_same_title_different_artist	REC000078|REC000079|REC000080|REC000081|REC000082|REC000083	Adios|Adios|Adios|Adios|Adios|Adios	SONG000054|SONG000054|SONG000054|SONG000054|SONG000054|SONG000054	||GRP0126|||	PER000249|||PER000274|PER000250|PER000274	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
amorcito corazon	6	likely_legitimate_same_title_different_artist	REC000290|REC000291|REC000292|REC000293|REC000294|REC000295	Amorcito Corazon|Amorcito Corazon|Amorcito Corazon|Amorcito Corazon|Amorcito Corazon|Amorcito Corazon	SONG000220|SONG000220|SONG000220|SONG000220|SONG000220|SONG000220	GRP0183|||||	|PER000225|PER000225|PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
el caballo blanco	6	likely_legitimate_same_title_different_artist	REC001419|REC001420|REC001421|REC001422|REC001423|REC001424	El Caballo Blanco|El Caballo Blanco|El Caballo Blanco|El Caballo Blanco|El Caballo Blanco|El Caballo Blanco	SONG001080|SONG001080|SONG001080|SONG001080|SONG001080|SONG001080	|||||	PER000127|PER000149|PER000149|PER000127|PER000149|PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
el cuervo	6	likely_legitimate_same_title_different_artist	REC001536|REC001537|REC001538|REC001539|REC001540|REC001541	El Cuervo|El Cuervo|El Cuervo|El Cuervo|El Cuervo|El Cuervo	SONG001161|SONG001161|SONG001161|SONG001161|SONG001161|SONG001161	GRP0137|||GRP0136|GRP0201|	|PER000149|PER000149|||PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
el gavilan pollero	6	likely_legitimate_same_title_different_artist	REC001601|REC001603|REC001604|REC001605|REC001606|REC001607	El Gavilan Pollero|El Gavilán Pollero|El Gavilán Pollero|El Gavilán Pollero|El Gavilán Pollero|El Gavilán Pollero	SONG001208|SONG001210|SONG001210|SONG001210|SONG001210|SONG001210	|||||	PER000225|PER000225|PER000225|PER000225|PER000225|PER000160	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
ella	6	likely_legitimate_same_title_different_artist	REC001955|REC001956|REC001957|REC001958|REC001959|REC001960	Ella|Ella|Ella|Ella|Ella|Ella	SONG001462|SONG001462|SONG001462|SONG001462|SONG001462|SONG001462	|||||	PER000225|PER000149|PER000225|PER000127|PER000225|PER000107	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
entre copa y copa	6	likely_legitimate_same_title_different_artist	REC002008|REC002009|REC002010|REC002011|REC002012|REC002013	Entre Copa Y Copa|Entre Copa Y Copa|Entre Copa Y Copa|Entre Copa Y Copa|Entre Copa Y Copa|Entre Copa Y Copa	SONG001502|SONG001502|SONG001502|SONG001502|SONG001502|SONG001502	|||||	|PER000225|PER000225|PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
gorrioncillo pecho amarillo	6	likely_legitimate_same_title_different_artist	REC002194|REC002195|REC002196|REC002197|REC002198|REC002199	Gorrioncillo Pecho Amarillo|Gorrioncillo Pecho Amarillo|Gorrioncillo Pecho Amarillo|Gorrioncillo Pecho Amarillo|Gorrioncillo Pecho Amarillo|Gorrioncillo Pecho Amarillo	SONG001647|SONG001647|SONG001647|SONG001647|SONG001647|SONG001647	|||||	PER000225|PER000225|PER000225|PER000225|PER000149|PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
la calandria	6	likely_legitimate_same_title_different_artist	REC002466|REC002467|REC002468|REC002469|REC002470|REC002471	La Calandria|La Calandria|La Calandria|La Calandria|La Calandria|La Calandria	SONG001843|SONG001843|SONG001843|SONG001843|SONG001843|SONG001843	GRP0138|||||	|PER000225|PER000225|PER000225|PER000225|PER000160	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
llegando a ti	6	likely_legitimate_same_title_different_artist	REC003012|REC003013|REC003014|REC003015|REC003016|REC003017	Llegando A Ti|Llegando A Ti|Llegando A Ti|Llegando A Ti|Llegando A Ti|Llegando A Ti	SONG002219|SONG002219|SONG002219|SONG002219|SONG002219|SONG002219	|||||	|PER000127|PER000149|PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
nocturnal	6	possible_true_duplicate_same_entity	REC003784|REC003785|REC003786|REC003787|REC003788|REC003789	Nocturnal|Nocturnal|Nocturnal|Nocturnal|Nocturnal|Nocturnal	SONG002826|SONG002826|SONG002826|SONG002826|SONG002826|SONG002826	|||||	PER000225|PER000225|PER000225|PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
paloma negra	6	likely_legitimate_same_title_different_artist	REC003940|REC003941|REC003942|REC003943|REC003944|REC003945	Paloma Negra|Paloma Negra|Paloma Negra|Paloma Negra|Paloma Negra|Paloma Negra	SONG002951|SONG002951|SONG002951|SONG002951|SONG002951|SONG002951	|||||	PER000149|PER000260|PER000260|PER000149|PER000052|PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
punalada trapera	6	likely_legitimate_same_title_different_artist	REC004261|REC004262|REC004263|REC004264|REC004265|REC004266	Puñalada Trapera|Puñalada Trapera|Puñalada Trapera|Puñalada Trapera|Puñalada Trapera|Puñalada Trapera	SONG003197|SONG003197|SONG003197|SONG003197|SONG003197|SONG003197	|||||	PER000117||PER000149|PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
ay jalisco no te rajes	5	likely_legitimate_same_title_different_artist	REC000442|REC000443|REC000456|REC000457|REC000458	Ay Jalisco No Te Rajes|Ay Jalisco No Te Rajes|Ay! Jalisco No Te Rajes|Ay! Jalisco No Te Rajes|Ay! Jalisco No Te Rajes	SONG000335|SONG000335|SONG000347|SONG000347|SONG000347	|GRP0155|||	PER000176||PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
besame morenita	5	possible_true_duplicate_same_entity	REC000500|REC000501|REC000502|REC000503|REC000504	Besame Morenita|Besame Morenita|Besame Morenita|Besame Morenita|Besame Morenita	SONG000382|SONG000382|SONG000382|SONG000382|SONG000382	||||	PER000225|PER000225|PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
besando la cruz	5	likely_legitimate_same_title_different_artist	REC000510|REC000511|REC000512|REC000513|REC000514	Besando La Cruz|Besando La Cruz|Besando La Cruz|Besando La Cruz|Besando La Cruz	SONG000385|SONG000385|SONG000385|SONG000385|SONG000385	||GRP0081||	PER000141|PER000177||PER000008|PER000177	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
cancion mexicana	5	possible_true_duplicate_same_entity	REC000619|REC000620|REC000621|REC000622|REC000623	Cancion Mexicana|Cancion Mexicana|Cancion Mexicana|Cancion Mexicana|Cancion Mexicana	SONG000480|SONG000480|SONG000480|SONG000480|SONG000480	||||	PER000149|PER000149|PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
carino nuevo	5	likely_legitimate_same_title_different_artist	REC000672|REC000673|REC000674|REC000675|REC000676	Cariño Nuevo|Cariño Nuevo|Cariño Nuevo|Cariño Nuevo|Cariño Nuevo	SONG000513|SONG000513|SONG000513|SONG000513|SONG000513	||||	PER000127|PER000149|PER000232|PER000127|PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
cielito lindo	5	likely_legitimate_same_title_different_artist	REC000756|REC000757|REC000758|REC000759|REC000760	Cielito Lindo|Cielito Lindo|Cielito Lindo|Cielito Lindo|Cielito Lindo	SONG000575|SONG000575|SONG000575|SONG000575|SONG000575	||GRP0140||	PER000176|PER000225||PER000059|PER000104	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
cuatro vidas	5	likely_legitimate_same_title_different_artist	REC001073|REC001074|REC001075|REC001076|REC001077	Cuatro Vidas|Cuatro Vidas|Cuatro Vidas|Cuatro Vidas|Cuatro Vidas	SONG000817|SONG000817|SONG000817|SONG000817|SONG000817	||GRP0155||	|PER000225|||PER000008	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
cucurrucucu paloma	5	likely_legitimate_same_title_different_artist	REC001078|REC001079|REC001080|REC001081|REC001082	Cucurrucucu Paloma|Cucurrucucu Paloma|Cucurrucucu Paloma|Cucurrucucu Paloma|Cucurrucucu Paloma	SONG000818|SONG000818|SONG000818|SONG000818|SONG000818	||||	|PER000149|PER000250|PER000031|PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
el aguacero	5	likely_legitimate_same_title_different_artist	REC001336|REC001337|REC001338|REC005533|REC005540	El Aguacero|El Aguacero|El Aguacero|El Aguacero|El Aguacero	SONG001020|SONG001020|SONG001020|SONG001020|SONG001020	|||GRP0257|GRP0256	PER000149|PER000107|PER000149||	SRC0001|SRC0001|SRC0001|SRC0002|SRC0002
el crucifijo de piedra	5	likely_legitimate_same_title_different_artist	REC001523|REC001524|REC001525|REC001526|REC001527	El Crucifijo De Piedra|El Crucifijo De Piedra|El Crucifijo De Piedra|El Crucifijo De Piedra|El Crucifijo De Piedra	SONG001154|SONG001154|SONG001154|SONG001154|SONG001154	|GRP0185|||	||PER000103|PER000149|PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
flor sin retono	5	same_entity_different_song_links	REC002144|REC002145|REC002146|REC002147|REC002148	Flor Sin Retono|Flor Sin Retoño|Flor Sin Retoño|Flor Sin Retoño|Flor Sin Retoño	SONG001610|SONG001611|SONG001611|SONG001611|SONG001611	||||	PER000225|PER000225|PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
gabino barrera	5	likely_legitimate_same_title_different_artist	REC002168|REC002169|REC002170|REC002171|REC002172	Gabino Barrera|Gabino Barrera|Gabino Barrera|Gabino Barrera|Gabino Barrera	SONG001628|SONG001628|SONG001628|SONG001628|SONG001628	GRP0012||||	|PER000149|PER000149|PER000052|PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
huapango torero	5	likely_legitimate_same_title_different_artist	REC002312|REC002313|REC002314|REC002315|REC002316	Huapango Torero|Huapango Torero|Huapango Torero|Huapango Torero|Huapango Torero	SONG001733|SONG001733|SONG001733|SONG001733|SONG001733	||||	PER000149|PER000260|PER000260|PER000149|PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
imploracion	5	likely_legitimate_same_title_different_artist	REC002325|REC002326|REC002327|REC002328|REC002329	Imploracion|Imploracion|Imploracion|Imploracion|Imploracion	SONG001741|SONG001741|SONG001741|SONG001741|SONG001741	|GRP0082|GRP0126||	PER000141|||PER000127|PER000008	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
la enorme distancia	5	likely_legitimate_same_title_different_artist	REC002543|REC002544|REC002545|REC002546|REC002547	La Enorme Distancia|La Enorme Distancia|La Enorme Distancia|La Enorme Distancia|La Enorme Distancia	SONG001896|SONG001896|SONG001896|SONG001896|SONG001896	||GRP0014||	PER000149|PER000149||PER000149|PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
la feria de las flores	5	likely_legitimate_same_title_different_artist	REC002564|REC002565|REC002566|REC002567|REC002568	La Feria De Las Flores|La Feria De Las Flores|La Feria De Las Flores|La Feria De Las Flores|La Feria De Las Flores	SONG001906|SONG001906|SONG001906|SONG001906|SONG001906	|GRP0190||GRP0155|GRP0184	PER000176||PER000176||	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
la mujer ladina	5	likely_legitimate_same_title_different_artist	REC002688|REC002689|REC002690|REC002691|REC002692	La Mujer Ladina|La Mujer Ladina|La Mujer Ladina|La Mujer Ladina|La Mujer Ladina	SONG001995|SONG001995|SONG001995|SONG001995|SONG001995	|||GRP0099|	PER000149|PER000149|PER000149||PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
la negra	5	likely_legitimate_same_title_different_artist	REC002696|REC002697|REC002698|REC002699|REC002700	La Negra|La Negra|La Negra|La Negra|La Negra	SONG001999|SONG001999|SONG001999|SONG001999|SONG001999	|GRP0160||GRP0167|	||PER000149||PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
la noche de mi mal	5	likely_legitimate_same_title_different_artist	REC002707|REC002708|REC002709|REC002710|REC002711	La Noche De Mi Mal|La Noche De Mi Mal|La Noche De Mi Mal|La Noche De Mi Mal|La Noche De Mi Mal	SONG002004|SONG002004|SONG002004|SONG002004|SONG002004	||||	PER000117|PER000149|PER000149|PER000117|PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
la panchita	5	likely_legitimate_same_title_different_artist	REC002733|REC002734|REC002735|REC002736|REC002737	La Panchita|La Panchita|La Panchita|La Panchita|La Panchita	SONG002018|SONG002018|SONG002018|SONG002018|SONG002018	||||	PER000176|PER000149|PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
los laureles	5	possible_true_duplicate_same_entity	REC003111|REC003112|REC003113|REC003114|REC003115	Los Laureles|Los Laureles|Los Laureles|Los Laureles|Los Laureles	SONG002290|SONG002290|SONG002290|SONG002290|SONG002290	||||	PER000149|PER000149|PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
mi carinito	5	possible_true_duplicate_same_entity	REC003359|REC003360|REC003361|REC003362|REC003363	Mi Cariñito|Mi Cariñito|Mi Cariñito|Mi Cariñito|Mi Cariñito	SONG002491|SONG002491|SONG002491|SONG002491|SONG002491	||||	PER000225|PER000225|PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
morenita mia	5	likely_legitimate_same_title_different_artist	REC003517|REC003518|REC003519|REC003520|REC003521	Morenita Mia|Morenita Mia|Morenita Mia|Morenita Mia|Morenita Mia	SONG002613|SONG002613|SONG002613|SONG002613|SONG002613	||||	PER000159|PER000127|PER000127|PER000107|PER000127	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
paloma dejame ir	5	likely_legitimate_same_title_different_artist	REC003931|REC003932|REC003933|REC003934|REC003935	Paloma Dejame Ir|Paloma Dejame Ir|Paloma Dejame Ir|Paloma Dejame Ir|Paloma Dejame Ir	SONG002947|SONG002947|SONG002947|SONG002947|SONG002947	GRP0185||||	|PER000225|PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
plegaria	5	likely_legitimate_same_title_different_artist	REC004074|REC004075|REC005633|REC005913|REC006107	Plegaria|Plegaria|Plegaria|2. Plegaria|Plegaria	SONG003054|SONG003054|SONG003054||SONG004683	|||GRP0281|GRP0281	PER000203|PER000061|||	SRC0001|SRC0001|SRC0002|SRC0002|SRC0002
presentimiento	5	likely_legitimate_same_title_different_artist	REC004209|REC004210|REC004211|REC004212|REC004213	Presentimiento|Presentimiento|Presentimiento|Presentimiento|Presentimiento	SONG003159|SONG003159|SONG003159|SONG003159|SONG003159	||||	PER000212|PER000094|PER000225|PER000225|PER000127	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
sus ojitos	5	possible_true_duplicate_same_entity	REC004837|REC004838|REC004839|REC004840|REC004841	Sus Ojitos|Sus Ojitos|Sus Ojitos|Sus Ojitos|Sus Ojitos	SONG003637|SONG003637|SONG003637|SONG003637|SONG003637	||||	PER000225|PER000225|PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
toda una vida	5	likely_legitimate_same_title_different_artist	REC004995|REC004996|REC004997|REC004998|REC004999	Toda Una Vida|Toda Una Vida|Toda Una Vida|Toda Una Vida|Toda Una Vida	SONG003761|SONG003761|SONG003761|SONG003761|SONG003761	||GRP0190||GRP0127	PER000132|||PER000250|	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
tu solo tu	5	likely_legitimate_same_title_different_artist	REC005134|REC005148|REC005150|REC005151|REC005152	Tu, Solo Tu|Tú Sólo Tú|Tú, Sólo Tú|Tú, Sólo Tú|Tú, Sólo Tú	SONG003864|SONG003876|SONG003878|SONG003878|SONG003878	|||GRP0154|	|PER000225|PER000225||PER000257	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
a la hora del rosario	4	possible_true_duplicate_same_entity	REC000011|REC000012|REC000013|REC000014	A La Hora Del Rosario|A La Hora Del Rosario|A La Hora Del Rosario|A La Hora Del Rosario	SONG000010|SONG000010|SONG000010|SONG000010	|||	PER000149|PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001|SRC0001
a los cuatro vientos	4	likely_legitimate_same_title_different_artist	REC000025|REC000026|REC000027|REC000028	A Los Cuatro Vientos|A Los Cuatro Vientos|A Los Cuatro Vientos|A Los Cuatro Vientos	SONG000016|SONG000016|SONG000016|SONG000016	|||	|PER000225|PER000149|PER000225	SRC0001|SRC0001|SRC0001|SRC0001
a poco no	4	likely_legitimate_same_title_different_artist	REC000037|REC000038|REC000039|REC000040	A Poco No|A Poco No|A Poco No|A Poco No	SONG000024|SONG000024|SONG000024|SONG000024	|||	PER000149|PER000031|PER000149|PER000031	SRC0001|SRC0001|SRC0001|SRC0001
amor del alma	4	likely_legitimate_same_title_different_artist	REC000253|REC000254|REC000255|REC000256	Amor Del Alma|Amor Del Alma|Amor Del Alma|Amor Del Alma	SONG000194|SONG000194|SONG000194|SONG000194	|||	|PER000117|PER000151|PER000133	SRC0001|SRC0001|SRC0001|SRC0001
ando como bala	4	likely_legitimate_same_title_different_artist	REC000309|REC000310|REC000311|REC000312	Ando Como Bala|Ando Como Bala|Ando Como Bala|Ando Como Bala	SONG000232|SONG000232|SONG000232|SONG000232	|||	PER000052|PER000188|PER000149|PER000149	SRC0001|SRC0001|SRC0001|SRC0001
ausencia	4	likely_legitimate_same_title_different_artist	REC000428|REC000429|REC000430|REC005729	Ausencia|Ausencia|Ausencia|Ausencia	SONG000324|SONG000324|SONG000324|SONG000324	|GRP0106||	PER000117|||	SRC0001|SRC0001|SRC0001|SRC0003
balaju	4	likely_legitimate_same_title_different_artist	REC000481|REC000482|REC000483|REC000484	Balaju|Balaju|Balaju|Balaju	SONG000366|SONG000366|SONG000366|SONG000366	|GRP0033|GRP0033|GRP0033	PER000126|||	SRC0001|SRC0001|SRC0001|SRC0001
besame mucho	4	likely_legitimate_same_title_different_artist	REC000505|REC000506|REC000507|REC000508	Besame Mucho|Besame Mucho|Besame Mucho|Besame Mucho	SONG000383|SONG000383|SONG000383|SONG000383	|||GRP0020	PER000176|PER000176|PER000104|	SRC0001|SRC0001|SRC0001|SRC0001
camino a guanajuato	4	possible_true_duplicate_same_entity	REC000590|REC000591|REC000592|REC000593	Camino A Guanajuato|Camino A Guanajuato|Camino A Guanajuato|Camino A Guanajuato	SONG000459|SONG000459|SONG000459|SONG000459	|||	PER000225|PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001|SRC0001
carta abierta	4	possible_true_duplicate_same_entity	REC000691|REC000692|REC000693|REC000694	Carta Abierta|Carta Abierta|Carta Abierta|Carta Abierta	SONG000525|SONG000525|SONG000525|SONG000525	|||	PER000149|PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001|SRC0001
cartas marcadas	4	likely_legitimate_same_title_different_artist	REC000703|REC000704|REC000705|REC000706	Cartas Marcadas|Cartas Marcadas|Cartas Marcadas|Cartas Marcadas	SONG000530|SONG000530|SONG000530|SONG000530	|||GRP0184	PER000094|PER000225|PER000225|	SRC0001|SRC0001|SRC0001|SRC0001
corrido de cananea	4	likely_legitimate_same_title_different_artist	REC000929|REC000930|REC000931|REC000932	Corrido De Cananea|Corrido De Cananea|Corrido De Cananea|Corrido De Cananea	SONG000714|SONG000714|SONG000714|SONG000714	|||	|PER000107||PER000107	SRC0001|SRC0001|SRC0001|SRC0001
cuando nadie te quiera	4	likely_legitimate_same_title_different_artist	REC001024|REC001025|REC001026|REC001027	Cuando Nadie Te Quiera|Cuando Nadie Te Quiera|Cuando Nadie Te Quiera|Cuando Nadie Te Quiera	SONG000784|SONG000784|SONG000784|SONG000784	|||	|PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001|SRC0001
cuando sale la luna	4	likely_legitimate_same_title_different_artist	REC001030|REC001031|REC001032|REC001033	Cuando Sale La Luna|Cuando Sale La Luna|Cuando Sale La Luna|Cuando Sale La Luna	SONG000787|SONG000787|SONG000787|SONG000787	|||	PER000225|PER000225|PER000225|PER000038	SRC0001|SRC0001|SRC0001|SRC0001
cuando salgo a los campos	4	likely_legitimate_same_title_different_artist	REC001034|REC001035|REC001036|REC001037	Cuando Salgo A Los Campos|Cuando Salgo A Los Campos|Cuando Salgo A Los Campos|Cuando Salgo A Los Campos	SONG000788|SONG000788|SONG000788|SONG000788	||GRP0201|	|PER000149||PER000149	SRC0001|SRC0001|SRC0001|SRC0001
desvelo de amor	4	likely_legitimate_same_title_different_artist	REC001204|REC001205|REC001206|REC001207	Desvelo De Amor|Desvelo De Amor|Desvelo De Amor|Desvelo De Amor	SONG000917|SONG000917|SONG000917|SONG000917	GRP0183||GRP0020|	|PER000008||	SRC0001|SRC0001|SRC0001|SRC0001
